Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
192;0,736;0,05923040935672186;11;0;0;0;11;0,009992854;32;3;3;8;21;0,035388056;103;44;44;59;0;0,211824425;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;14;0;0;0;14;0,013033409;13;5;5;8;0;0,047459774;1;0;0;1;0;0,05374324;
193;0,741;0,059222966507173735;12;1;1;0;11;0,011203388;32;3;3;8;21;0,035388056;103;44;44;59;0;0,211824425;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;14;0;0;0;14;0,013033409;13;5;5;8;0;0,047459774;1;0;0;1;0;0,05374324;
194;0,747;0,059091121743749975;12;1;1;0;11;0,011203388;32;3;3;8;21;0,035388056;104;45;45;59;0;0,213831755;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;14;0;0;0;14;0,013033409;13;5;5;8;0;0,047459774;1;0;0;1;0;0,05374324;
197;0,757;0,05909048378521742;13;1;1;0;12;0,012348447;32;3;3;8;21;0,035388056;104;45;45;59;0;0,213831755;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;15;0;0;0;15;0,01396891;14;6;6;8;0;0,050966029;1;0;0;1;0;0,05374324;
199;0,764;0,05906028708133637;13;1;1;0;12;0,012348447;33;3;3;8;22;0,036433688;105;46;46;59;0;0,21585495;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;15;0;0;0;15;0,01396891;14;6;6;8;0;0,050966029;1;0;0;1;0;0,05374324;
207;0,783;0,05905858585858248;17;1;1;0;16;0,016895225;33;3;3;8;22;0,036433688;108;46;46;62;0;0,221561049;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;15;0;0;0;15;0,01396891;15;7;7;8;0;0,054621846;1;0;0;1;0;0,05374324;
208;0,791;0,05904965443912491;17;1;1;0;16;0,016895225;33;3;3;8;22;0,036433688;108;46;46;62;0;0,221561049;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;15;0;0;0;15;0,01396891;16;8;8;8;0;0,05824154;1;0;0;1;0;0,05374324;
209;0,797;0,059041998936732454;17;1;1;0;16;0,016895225;33;3;3;8;22;0,036433688;109;47;47;62;0;0,223547754;8;0;0;8;0;0,012705936;10;5;5;5;0;0,056114279;15;0;0;0;15;0,01396891;16;8;8;8;0;0,05824154;1;0;0;1;0;0,05374324;
211;0,809;0,05899521531100127;17;1;1;0;16;0,016895225;33;3;3;8;22;0,036433688;109;47;47;62;0;0,223547754;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;15;0;0;0;15;0,01396891;17;8;8;9;0;0,061178472;1;0;0;1;0;0,05374324;
212;0,815;0,05899436469962449;17;1;1;0;16;0,016895225;33;3;3;8;22;0,036433688;110;48;48;62;0;0,225739235;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;15;0;0;0;15;0,01396891;17;8;8;9;0;0,061178472;1;0;0;1;0;0,05374324;
218;0,827;0,05868814460393057;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;112;49;49;63;0;0,229802931;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;17;8;8;9;0;0,061178472;1;0;0;1;0;0,05374324;
219;0,833;0,05867177033492477;18;1;1;0;17;0,018001856;34;3;3;9;22;0,037326965;112;49;49;63;0;0,229802931;8;0;0;8;0;0,012705936;11;6;6;5;0;0,061766904;17;0;0;0;17;0,015780365;18;9;9;9;0;0,06433183;1;0;0;1;0;0,05374324;
